UNIQUE CODE,MONTH,OPTIONS,LAST,CHANGE,PRIOR SETTLE,OPEN,HIGH,LOW,VOLUME,UPDATED
CLZ3,DEC 2023,Opt,81.22,+0.20 (+0.25%),81.02,81.48,81.61,81.08,"7,783",20:46:47 CT 31 Oct 2023
CLF4,JAN 2024,Opt,80.76,+0.26 (+0.32%),80.50,80.98,81.12,80.64,"2,296",20:46:29 CT 31 Oct 2023
CLG4,FEB 2024,Opt,80.27,+0.31 (+0.39%),79.96,80.47,80.50,80.16,279,20:46:15 CT 31 Oct 2023
CLH4,MAR 2024,Opt,79.72,+0.30 (+0.38%),79.42,79.95,80.03,79.66,281,20:45:17 CT 31 Oct 2023
CLJ4,APR 2024,Opt,79.45,+0.52 (+0.66%),78.93,79.40,79.45,79.38,107,20:35:00 CT 31 Oct 2023
CLK4,MAY 2024,Opt,78.80,+0.33 (+0.42%),78.47,78.80,78.80,78.80,55,20:28:04 CT 31 Oct 2023
CLM4,JUN 2024,Opt,78.35,+0.31 (+0.40%),78.04,78.49,78.60,78.35,463,20:45:02 CT 31 Oct 2023
CLN4,JUL 2024,Opt,77.98,+0.36 (+0.46%),77.62,78.03,78.03,77.98,21,20:24:10 CT 31 Oct 2023
CLQ4,AUG 2024,Opt,-,-,77.21,-,-,-,1,20:24:10 CT 31 Oct 2023
CLU4,SEP 2024,Opt,-,-,76.81,-,-,-,26,20:24:10 CT 31 Oct 2023
CLV4,OCT 2024,Opt,-,-,76.42,-,-,-,3,20:24:10 CT 31 Oct 2023
CLX4,NOV 2024,Opt,-,-,76.05,-,-,-,2,20:24:10 CT 31 Oct 2023
CLZ4,DEC 2024,Opt,76.10,+0.41 (+0.54%),75.69,76.09,76.13,75.89,157,20:46:05 CT 31 Oct 2023
CLF5,JAN 2025,Opt,-,-,75.30,-,-,-,0,20:24:10 CT 31 Oct 2023
CLG5,FEB 2025,Opt,-,-,74.92,-,-,-,0,20:24:10 CT 31 Oct 2023
CLH5,MAR 2025,Opt,-,-,74.56,-,-,-,0,20:24:10 CT 31 Oct 2023
CLJ5,APR 2025,Opt,-,-,74.23,-,-,-,0,20:24:10 CT 31 Oct 2023
CLK5,MAY 2025,Opt,-,-,73.92,-,-,-,0,20:24:10 CT 31 Oct 2023
CLM5,JUN 2025,Opt,-,-,73.61,-,-,-,35,20:33:25 CT 31 Oct 2023
CLN5,JUL 2025,Opt,-,-,73.27,-,-,-,0,20:24:10 CT 31 Oct 2023
CLQ5,AUG 2025,Opt,-,-,72.95,-,-,-,0,20:24:10 CT 31 Oct 2023
CLU5,SEP 2025,Opt,-,-,72.65,-,-,-,0,20:24:10 CT 31 Oct 2023
