UNIQUE CODE,MONTH,OPTIONS,LAST,CHANGE,PRIOR SETTLE,OPEN,HIGH,LOW,VOLUME,UPDATED
2023CLZ3,DEC 2023,Opt,80.61,-0.21 (-0.26%),80.82,80.93,81.05,80.52,"4,117",19:26:59 CT 06 Nov 2023
2024CLF4,JAN 2024,Opt,80.37,-0.23 (-0.29%),80.60,80.69,80.79,80.29,"1,382",19:26:51 CT 06 Nov 2023
2024CLG4,FEB 2024,Opt,80.11,-0.21 (-0.26%),80.32,80.43,80.48,80.02,573,19:23:25 CT 06 Nov 2023
2024CLH4,MAR 2024,Opt,79.71,-0.28 (-0.35%),79.99,80.04,80.08,79.71,197,19:23:39 CT 06 Nov 2023
2024CLJ4,APR 2024,Opt,-,-,79.66,-,-,-,162,19:16:12 CT 06 Nov 2023
2024CLK4,MAY 2024,Opt,79.00,-0.30 (-0.38%),79.30,79.31,79.31,79.00,230,19:21:44 CT 06 Nov 2023
2024CLM4,JUN 2024,Opt,78.65,-0.28 (-0.35%),78.93,78.91,78.95,78.61,219,19:25:55 CT 06 Nov 2023
2024CLN4,JUL 2024,Opt,78.26,-0.29 (-0.37%),78.55,78.60,78.62,78.26,33,19:15:02 CT 06 Nov 2023
2024CLQ4,AUG 2024,Opt,-,-,78.15,-,-,-,29,19:10:03 CT 06 Nov 2023
2024CLU4,SEP 2024,Opt,-,-,77.75,-,-,-,112,19:23:13 CT 06 Nov 2023
2024CLV4,OCT 2024,Opt,77.00,-0.34 (-0.44%),77.34,77.00,77.00,77.00,95,19:10:02 CT 06 Nov 2023
2024CLX4,NOV 2024,Opt,-,-,76.94,-,-,-,13,19:04:13 CT 06 Nov 2023
2024CLZ4,DEC 2024,Opt,76.25,-0.30 (-0.39%),76.55,76.45,76.45,76.21,85,19:26:16 CT 06 Nov 2023
2025CLF5,JAN 2025,Opt,-,-,76.13,-,-,-,0,18:22:01 CT 06 Nov 2023
2025CLG5,FEB 2025,Opt,-,-,75.74,-,-,-,0,18:21:01 CT 06 Nov 2023
2025CLH5,MAR 2025,Opt,-,-,75.36,-,-,-,0,18:21:56 CT 06 Nov 2023
2025CLJ5,APR 2025,Opt,-,-,75.01,-,-,-,0,18:22:55 CT 06 Nov 2023
2025CLK5,MAY 2025,Opt,-,-,74.69,-,-,-,0,18:21:28 CT 06 Nov 2023
2025CLM5,JUN 2025,Opt,74.05,-0.30 (-0.40%),74.35,74.05,74.05,74.05,28,19:26:16 CT 06 Nov 2023
2025CLN5,JUL 2025,Opt,-,-,73.98,-,-,-,0,18:21:51 CT 06 Nov 2023
2025CLQ5,AUG 2025,Opt,-,-,73.65,-,-,-,0,18:21:00 CT 06 Nov 2023
2025CLU5,SEP 2025,Opt,-,-,73.33,-,-,-,0,18:21:44 CT 06 Nov 2023
2025CLV5,OCT 2025,Opt,-,-,73.03,-,-,-,0,18:22:03 CT 06 Nov 2023
2025CLX5,NOV 2025,Opt,-,-,72.76,-,-,-,0,18:21:09 CT 06 Nov 2023
2025CLZ5,DEC 2025,Opt,72.18,-0.29 (-0.40%),72.47,72.33,72.33,72.18,28,19:21:14 CT 06 Nov 2023
2026CLF6,JAN 2026,Opt,-,-,72.13,-,-,-,0,18:21:36 CT 06 Nov 2023
2026CLG6,FEB 2026,Opt,-,-,71.82,-,-,-,0,18:21:22 CT 06 Nov 2023
2026CLH6,MAR 2026,Opt,-,-,71.53,-,-,-,0,18:21:52 CT 06 Nov 2023
2026CLJ6,APR 2026,Opt,-,-,71.25,-,-,-,0,18:22:43 CT 06 Nov 2023
2026CLK6,MAY 2026,Opt,-,-,71.00,-,-,-,0,18:21:02 CT 06 Nov 2023
2026CLM6,JUN 2026,Opt,-,-,70.75,-,-,-,0,18:21:14 CT 06 Nov 2023
2026CLN6,JUL 2026,Opt,-,-,70.47,-,-,-,0,18:22:19 CT 06 Nov 2023
2026CLQ6,AUG 2026,Opt,-,-,70.21,-,-,-,0,18:21:51 CT 06 Nov 2023
2026CLU6,SEP 2026,Opt,-,-,69.97,-,-,-,0,18:21:25 CT 06 Nov 2023
2026CLV6,OCT 2026,Opt,-,-,69.74,-,-,-,0,18:21:36 CT 06 Nov 2023
2026CLX6,NOV 2026,Opt,-,-,69.54,-,-,-,0,18:21:12 CT 06 Nov 2023
2026CLZ6,DEC 2026,Opt,-,-,69.32,-,-,-,0,18:21:12 CT 06 Nov 2023
2027CLF7,JAN 2027,Opt,-,-,69.05,-,-,-,0,18:21:47 CT 06 Nov 2023
2027CLG7,FEB 2027,Opt,-,-,68.81,-,-,-,0,18:21:56 CT 06 Nov 2023
2027CLH7,MAR 2027,Opt,-,-,68.59,-,-,-,0,18:22:31 CT 06 Nov 2023
2027CLJ7,APR 2027,Opt,-,-,68.38,-,-,-,0,18:21:43 CT 06 Nov 2023
2027CLK7,MAY 2027,Opt,-,-,68.19,-,-,-,0,18:21:03 CT 06 Nov 2023
2027CLM7,JUN 2027,Opt,-,-,67.92,-,-,-,0,18:22:29 CT 06 Nov 2023
2027CLN7,JUL 2027,Opt,-,-,67.62,-,-,-,0,18:21:51 CT 06 Nov 2023
2027CLQ7,AUG 2027,Opt,-,-,67.46,-,-,-,0,18:21:05 CT 06 Nov 2023
2027CLU7,SEP 2027,Opt,-,-,67.28,-,-,-,0,18:22:54 CT 06 Nov 2023
2027CLV7,OCT 2027,Opt,-,-,67.11,-,-,-,0,18:21:11 CT 06 Nov 2023
2027CLX7,NOV 2027,Opt,-,-,66.92,-,-,-,0,18:21:10 CT 06 Nov 2023
2027CLZ7,DEC 2027,Opt,-,-,66.72,-,-,-,0,18:21:36 CT 06 Nov 2023
2028CLF8,JAN 2028,Opt,-,-,66.46,-,-,-,0,18:22:57 CT 06 Nov 2023
2028CLG8,FEB 2028,Opt,-,-,66.27,-,-,-,0,18:22:29 CT 06 Nov 2023
2028CLH8,MAR 2028,Opt,-,-,66.07,-,-,-,0,18:22:52 CT 06 Nov 2023
2028CLJ8,APR 2028,Opt,-,-,65.87,-,-,-,0,18:21:54 CT 06 Nov 2023
2028CLK8,MAY 2028,Opt,-,-,65.71,-,-,-,0,18:22:53 CT 06 Nov 2023
2028CLM8,JUN 2028,Opt,-,-,65.54,-,-,-,0,18:22:30 CT 06 Nov 2023
2028CLN8,JUL 2028,Opt,-,-,65.30,-,-,-,0,18:21:11 CT 06 Nov 2023
2028CLQ8,AUG 2028,Opt,-,-,65.12,-,-,-,0,18:22:13 CT 06 Nov 2023
2028CLU8,SEP 2028,Opt,-,-,64.97,-,-,-,0,18:21:43 CT 06 Nov 2023
2028CLV8,OCT 2028,Opt,-,-,64.84,-,-,-,0,18:22:52 CT 06 Nov 2023
2028CLX8,NOV 2028,Opt,-,-,64.69,-,-,-,0,18:22:52 CT 06 Nov 2023
2028CLZ8,DEC 2028,Opt,-,-,64.55,-,-,-,0,18:21:21 CT 06 Nov 2023
2029CLF9,JAN 2029,Opt,-,-,64.32,-,-,-,0,18:22:04 CT 06 Nov 2023
2029CLG9,FEB 2029,Opt,-,-,64.18,-,-,-,0,18:22:45 CT 06 Nov 2023
2029CLH9,MAR 2029,Opt,-,-,64.03,-,-,-,0,18:21:42 CT 06 Nov 2023
2029CLJ9,APR 2029,Opt,-,-,63.87,-,-,-,0,18:22:37 CT 06 Nov 2023
2029CLK9,MAY 2029,Opt,-,-,63.68,-,-,-,0,18:22:28 CT 06 Nov 2023
2029CLM9,JUN 2029,Opt,-,-,63.52,-,-,-,0,18:23:00 CT 06 Nov 2023
2029CLN9,JUL 2029,Opt,-,-,63.37,-,-,-,0,18:22:52 CT 06 Nov 2023
